"created_at","bpp_details.bpp_id","location_details.address.name"
"Jul 10, 2025 @ 12:38:46.246","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:42.862","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:42.206","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:41.300","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:40.347","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:40.059","webapi.magicpin.in/oms_partner/ondc","WeFit - Protein Bowls, Salads & Sandwiches"
"Jul 10, 2025 @ 12:38:40.053","webapi.magicpin.in/oms_partner/ondc","Bhatti Chicken - Grilled, NOT Fried!"
"Jul 10, 2025 @ 12:38:40.041","webapi.magicpin.in/oms_partner/ondc","WeFit - Protein Bowls, Salads & Sandwiches"
"Jul 10, 2025 @ 12:38:38.475","webapi.magicpin.in/oms_partner/ondc","NATURAL FRESH ICE CREAM"
"Jul 10, 2025 @ 12:38:37.603","webapi.magicpin.in/oms_partner/ondc","Bombay Burger's"
"Jul 10, 2025 @ 12:38:37.488","webapi.magicpin.in/oms_partner/ondc","21 Hogg Street"
"Jul 10, 2025 @ 12:38:37.480","webapi.magicpin.in/oms_partner/ondc","Say Cheese"
"Jul 10, 2025 @ 12:38:37.479","webapi.magicpin.in/oms_partner/ondc","Badmash Biryani"
"Jul 10, 2025 @ 12:38:37.478","webapi.magicpin.in/oms_partner/ondc","Fun & Fries"
"Jul 10, 2025 @ 12:38:37.478","webapi.magicpin.in/oms_partner/ondc","Talented Kadai"
"Jul 10, 2025 @ 12:38:37.084","webapi.magicpin.in/oms_partner/ondc","Artinci - Indulge Guilt Free!"
"Jul 10, 2025 @ 12:38:37.083","webapi.magicpin.in/oms_partner/ondc","Artinci - Indulge Guilt Free!"
"Jul 10, 2025 @ 12:38:37.081","webapi.magicpin.in/oms_partner/ondc","Artinci - Indulge Guilt Free!"
"Jul 10, 2025 @ 12:38:37.079","webapi.magicpin.in/oms_partner/ondc","Artinci - Indulge Guilt Free!"
"Jul 10, 2025 @ 12:38:37.075","webapi.magicpin.in/oms_partner/ondc","Artinci - Indulge Guilt Free!"
"Jul 10, 2025 @ 12:38:36.352","webapi.magicpin.in/oms_partner/ondc","Ghar Ka Zaika"
